Donor_Name__c,Date_Opened__c,Date_Due__c,Value__c,Region__c,Program__c,Contact__c,Status__c,Date_of_Submission__c,Report_Due__c,Notes__c,To_Review__c
Cummings Foundation,2025-01-01,2025-01-15,"$300,000.00","Essex, Middlesex, and Suffolk County, plus Brookline, Dedham, Milton, Needham, Quincy, and Wellesley",PAE,kmt@cummings.com,Full Proposal Accepted,2025-01-15 00:00:00,4/15/26,The report form will be released a month prior to due date,
Hamilton Company Charitable Foundation,,,"$10,000.00",Massachusetts,PAE,Ronald Brown,Full Proposal Accepted,2024-02-16 00:00:00,,,
Sudbury Foundation,,,"$20,000.00","Acton, Concord, Framingham, Hudson, Lincoln, Marlborough, Maynard, Natick, Stow, Sudbury and Wayland.",PAE,Sonia Shah,Full Proposal Accepted,2024-03-29 00:00:00,6/15/25,,
Mutual One Charitable Foundation,2025-02-03,2025-05-01,"$10,000.00",MetroWest residents. Special emphasis on undeserved citizens of Framingham or Natick.,PAE,Yves Munyankindi,Full Proposal Rejected,2025-04-29 00:00:00,,Submit quarterly,https://www.mutualone.com/about-mutual-one/community-support/foundation/
Finish Line Foundation,2025-04-01,2025-05-15,"$10,000.00",Indy/ USA,PAE,,Full Proposal Submitted,2025-05-09 00:00:00,,Health & Wellness,https://www.finishline.com/foundation-grants?srsltid=AfmBOopt9335x1FSGJ4U7SHNWd9JN8WHpseLGc6UgTMevRGtnNfvq_UX
B.A.A. Gives Back Grant,2025-02-19,2025-03-06,"$5,000-15,000",Massachusetts,PAE,"Tandy Bryant, Development Manager, at tbryant@baa.org",Full Proposal Rejected,2025-03-06 00:00:00,,"Proposal rejected twice (2024, 2025)",https://www.baa.org/baa-gives-back-grants
Highland Street Foundation,,,Any,Massachusetts,"education, youth programming and mentoring, housing and homelessness prevention, environment, healthcare and the arts",,,,,Rolling LOI and no funding limit,https://www.highlandstreet.org/grants
Yawkey Foundation,2025-05-01,2025-05-23,"$100,000.00",Massachusetts,Program Office Gym/Fitness Center/ Kitchen,,Submitted,2025-05-22 00:00:00,,Can't pay for staff,
TJX Foundation,2025-02-03,2025-10-31,,Within 15mi of a location,MUSE or Academy,,,,,"No general operating funds, staff salaries",https://www.tjx.com/corporate-responsibility/communities/our-us-foundation
National Grid Foundation,,,"$20,000.00",Southeast Mass- Where the National Grid operates,Academy,,Full Proposal Rejected,2024-10-15 00:00:00,,They didn't review and reject until 6/12/25,
Action for Women's Health,,2024-12-13,"$1,000,000.00",Worldwide,GEMS,,Full Proposal Rejected,2025-04-16 00:00:00,Finished Open Reviews,Made it to the second round and open reviews,
Max and Victoria Dreyfus Foundation,2025-05-11,2025-11-10,"$5,000-20,000",Nationwide,MUSE,,,,,Rejected in 2023,https://www.mvdreyfusfoundation.org/application-guidelines
Vermont Mutual Insurance Group,,2025-08-15,,"Connecticut, Maine, Massachusetts, New Hampshire, New York State, Rhode Island and Vermont",Any,,,,,Rejected in 2024,https://www.vermontmutual.com/about/charitable-giving/
Hemenway & Barnes,,2025-07-01,"$1,000-10,000",Massachusetts (Boston and New Bedford),,rgoldberg@hembar.com,,,,"Support of programs for pre-school through elementary school age children, with emphasis on early learning, literacy, civics and the teaching of history.",https://hembar.com/cht-foundation
NBA Foundation,2025-10-01,2025-11-14,"$400,000.00",USA,Academy,Lauren Sills,,,Submitted 7/1,"Current grant ends 7/31, not much info out on the new cycle rn (7/2)",https://nbafoundation.nba.com/grants/
Penn Entertainment Charitable Foundation,2025-07-02,2025-10-01,?,Massachusetts,Academy,,,,,Mail in grant application,https://www.pennentertainment.com/corp/corporate-responsibility/penn-entertainment-foundation
Saks Foundation,,2025-07-01,"$250,000.00",Nationwide,PAE/ Mental Health,,,,,Missed 2025,https://www.saksfifthavenue.com/c/content/saks-foundation
Blue Cross Blue Shield,2025-06-18,2025-07-24,"$100,000/ 3 years",Massachusetts,"Mental Health ""Problem Management Plus (PM+)"" Programming",,,,,,https://www.bluecrossmafoundation.org/grants/advancing-community-driven-mental-health
